#,Name,Pattern,Type,Date Started,Date Finished,Colors,Length,How many strings?,Where is it going?
63,Pastel rainbow plaid,https://www.braceletbook.com/patterns/normal/11506/,Normal,6/6/2023,6/7/2023,8,Bracelet,28,Keeping
64,Pewter symbol mistborn,https://www.braceletbook.com/patterns/alpha/198609/,Alpha,6/9/2023,6/9/2023,2,Patch,34,Keeping
65,Tin symbol mistborn,https://www.braceletbook.com/patterns/alpha/198608/,Alpha,6/10/2023,6/10/2023,2,Patch,34,Keeping
66,Brass symbol mistborn,https://imgur.com/zqFu0zE,Alpha,6/11/2023,6/11/2023,2,Patch,34,Keeping
67,Zinc symbol mistborn,https://imgur.com/zqFu0zE,Alpha,6/12/2023,6/12/2023,2,Patch,34,Keeping
68,Steel symbol mistborn,https://www.braceletbook.com/patterns/alpha/198607/,Alpha,6/13/2023,6/14/2023,2,Patch,34,Keeping
69,Iron symbol mistborn,https://www.braceletbook.com/patterns/alpha/198606/,Alpha,6/14/2023,6/15/2023,2,Patch,34,Keeping
70,Copper symbol mistborn,https://www.braceletbook.com/patterns/alpha/198659/,Alpha,6/15/2023,6/16/2023,2,Patch,34,Keeping
71,Bronze symbol mistborn,https://www.braceletbook.com/patterns/alpha/198660/,Alpha,6/16/2023,6/17/2023,2,Patch,34,Keeping
72,Multicolored and grey diamonds,https://www.braceletbook.com/patterns/normal/131172/,Normal,6/19/2023,6/24/2023,5,Bracelet,14,Sold
